,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame,FNO,Date1
109,109,Donald Trump,DTr,26-Sep-20,9,0.029778694376229764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_9,9,26-Sep-20
110,110,Donald Trump,DTr,26-Sep-20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26-Sep-20_Frame_10,10,26-Sep-20
111,111,Donald Trump,DTr,07-Sep-20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_1,1,07-Sep-20
112,112,Donald Trump,DTr,07-Sep-20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.029458170717870488,0.0,0.0,6,07-Sep-20_Frame_2,2,07-Sep-20
113,113,Donald Trump,DTr,07-Sep-20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_3,3,07-Sep-20
114,114,Donald Trump,DTr,07-Sep-20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018965975614722408,8,07-Sep-20_Frame_4,4,07-Sep-20
115,115,Donald Trump,DTr,07-Sep-20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_5,5,07-Sep-20
116,116,Donald Trump,DTr,07-Sep-20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05844560885561001,0.0,7,07-Sep-20_Frame_6,6,07-Sep-20
117,117,Donald Trump,DTr,07-Sep-20,7,0.0,0.0,0.002461010647740236,0.0,0.0,0.0,0.0,0.0,0.0,2,07-Sep-20_Frame_7,7,07-Sep-20
118,118,Donald Trump,DTr,07-Sep-20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_8,8,07-Sep-20
119,119,Donald Trump,DTr,07-Sep-20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_9,9,07-Sep-20
120,120,Donald Trump,DTr,07-Sep-20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_10,10,07-Sep-20
