,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8
169,Donald Trump,DTr,20-Jun-20,13,0.0,0.1092740154765881,0.0,0.0,0.0,0.0,0.0,0.0727175861668346,0.0
170,Donald Trump,DTr,20-Jun-20,14,0.0,0.0,0.22639710861681028,0.0,0.0,0.0,0.0,0.0,0.0
171,Donald Trump,DTr,20-Jun-20,15,0.0,0.0,0.0,0.0,0.0,0.049378071796578604,0.0,0.0,0.0
172,Donald Trump,DTr,20-Jun-20,16,0.13158737926566305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Donald Trump,DTr,20-Jun-20,17,0.0,0.019864743350530095,0.0,0.0,0.0,0.0,0.0,0.2482024613142011,0.0
174,Donald Trump,DTr,20-Jun-20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Donald Trump,DTr,20-Jun-20,19,0.0,0.0,0.0,0.00015757113138931134,0.0,0.0,0.0,0.0,0.0
176,Donald Trump,DTr,20-Jun-20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Donald Trump,DTr,20-Jun-20,21,0.015993545908038392,0.0,0.0,0.1453479596747675,0.0,0.012368235755263662,0.0,0.0,0.0
178,Donald Trump,DTr,20-Jun-20,22,0.0,0.3270398357632771,0.0,0.0,0.0,0.009515661589650393,0.0,0.0,0.0
179,Donald Trump,DTr,20-Jun-20,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Donald Trump,DTr,20-Jun-20,24,0.0,0.08191780861026804,0.0,0.0,0.0,0.0,0.038170817783352046,0.0,0.0
181,Donald Trump,DTr,20-Jun-20,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04615959407544987,0.0
182,Donald Trump,DTr,20-Jun-20,26,0.0,0.0,0.0,0.3539065898970003,0.0,0.0,0.2614057898231706,0.1842194829027099,0.0
183,Donald Trump,DTr,20-Jun-20,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Donald Trump,DTr,20-Jun-20,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Donald Trump,DTr,20-Jun-20,29,0.0,0.0,0.07674780296885922,0.0,0.0,0.0,0.06709623198595352,0.0,0.0
186,Donald Trump,DTr,20-Jun-20,30,0.0,0.0,0.02395855382280873,0.02811716760686675,0.0,0.009687568112192596,0.15462057932515122,0.0,0.0
187,Donald Trump,DTr,20-Jun-20,31,0.0,0.0,0.0,0.0,0.0,0.0,0.028598432844265803,0.07556480187830991,0.0
188,Donald Trump,DTr,20-Jun-20,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Donald Trump,DTr,23-Apr-20,1,0.16088441521923552,0.0,0.0,0.0,0.0,0.0,0.024843443060230147,0.0,0.0
190,Donald Trump,DTr,23-Apr-20,2,0.0,0.0,0.0203790668279919,0.0,0.0,0.0,0.0,0.0,0.026005305623937935
191,Donald Trump,DTr,23-Apr-20,3,0.0,0.0,0.07049183328377512,0.0,0.0,0.017438243377749102,0.0,0.04855557950303224,0.0
192,Donald Trump,DTr,23-Apr-20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Donald Trump,DTr,23-Apr-20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Donald Trump,DTr,23-Apr-20,6,0.1324916585196098,0.0,0.07561159083926211,0.0,0.0,0.0,0.0,0.0,0.0
195,Donald Trump,DTr,23-Apr-20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Donald Trump,DTr,23-Apr-20,8,0.21492498019674022,0.0,0.0,0.0,0.0,0.0,0.0,0.023192596766679868,0.0
197,Donald Trump,DTr,23-Apr-20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Donald Trump,DTr,23-Apr-20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Donald Trump,DTr,23-Apr-20,11,0.0,0.08915955234481909,0.0,0.0,0.0,0.01547377818562301,0.0,0.0,0.0
200,Donald Trump,DTr,23-Apr-20,12,0.0,0.0,0.0,0.0,0.0,0.017241934696367672,0.0,0.0,0.0
